"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"344",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"345",0,1,0,0,1,0,0,1,0,2,"POSITIVO"
"346",1,1,0,2,1,0,0,1,2,5,"POSITIVO"
"347",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"348",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"349",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"350",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"351",0,3,0,1,0,0,2,0,1,1,"NEUTRO"
"352",5,0,0,2,1,1,0,2,5,2,"NEGATIVO"
"353",0,1,0,0,1,1,0,1,0,1,"POSITIVO"
"354",0,2,0,0,1,0,0,1,0,1,"POSITIVO"
"355",3,6,0,0,7,3,3,7,3,8,"POSITIVO"
"356",0,1,0,0,1,1,1,0,1,1,"NEUTRO"
"357",1,1,1,0,0,1,1,0,3,0,"NEGATIVO"
"358",0,1,0,0,0,0,0,2,0,0,"NEUTRO"
"359",1,0,1,1,0,1,1,0,1,1,"NEUTRO"
"360",1,0,2,3,0,3,1,2,4,2,"NEGATIVO"
"361",0,2,0,0,2,0,1,2,1,2,"POSITIVO"
"362",2,0,0,2,0,2,0,0,5,6,"POSITIVO"
"363",0,3,0,1,0,0,1,0,0,1,"POSITIVO"
"364",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"365",0,4,0,1,1,0,1,1,0,2,"POSITIVO"
"366",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"367",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"368",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"369",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"370",1,1,1,1,0,1,1,0,1,1,"NEUTRO"
"371",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"372",0,1,1,0,1,0,2,1,4,4,"NEUTRO"
"373",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"374",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"375",1,0,1,1,0,1,1,1,1,2,"POSITIVO"
"376",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"377",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"378",0,0,1,0,0,0,1,1,2,1,"NEGATIVO"
"379",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"380",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"381",0,0,0,0,0,0,0,1,0,2,"POSITIVO"
"382",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"383",0,0,0,0,0,0,0,0,0,2,"POSITIVO"
"384",0,0,0,0,2,1,0,2,1,2,"POSITIVO"
"385",1,2,0,0,2,1,1,2,1,2,"POSITIVO"
"386",1,0,0,1,0,2,0,0,4,1,"NEGATIVO"
