"","Bolsonaro","Lula","Ciro","Tebet"
"4655","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8776","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5688","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"5866","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2261","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8875","POSITIVO","NEGATIVO","NEUTRO","NEGATIVO"
"2023","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"4262","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"1592","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"5065","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"1702","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7764","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"4942","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"6151","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"6039","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"3767","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"6081","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"4793","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"2693","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3688","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"2121","NEUTRO","NEGATIVO","NEGATIVO","NEGATIVO"
"6669","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"2188","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"5033","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"2033","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3823","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"2608","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"6923","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"1922","NEUTRO","NEGATIVO","POSITIVO","POSITIVO"
"8767","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"5956","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"8946","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"2521","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1036","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"1565","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"5768","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"3017","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"9138","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"495","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"3877","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"7931","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"5597","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"2739","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"2424","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"5132","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"3168","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"2036","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"3983","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"5319","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"8778","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"7689","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
